node1,node2,trail,distance
CV,B,trail_136,5
CS,AW,trail_137,10
AE,P,trail_138,1
E,W,trail_139,2
V,CL,trail_140,9
CA,AO,trail_141,5
CE,A,trail_142,7
BA,AC,trail_143,6
X,Q,trail_144,9
CN,BV,trail_145,8
BU,M,trail_146,3
AD,BG,trail_147,1
BL,AT,trail_148,9
J,AI,trail_149,3
BQ,AG,trail_150,8
AM,BA,trail_151,10
N,AG,trail_152,5
BM,AL,trail_153,6
AL,K,trail_154,2
CA,X,trail_155,3
BC,U,trail_156,7
CK,CT,trail_157,3
B,BM,trail_158,8
C,Y,trail_159,10
AG,CA,trail_160,8
BR,J,trail_161,4
AR,CV,trail_162,10
AA,AK,trail_163,4
AE,Y,trail_164,6
M,AE,trail_165,5
BZ,C,trail_166,4
AB,BY,trail_167,5
CR,BS,trail_168,5
G,CK,trail_169,1
BD,CR,trail_170,3
I,AT,trail_171,5
K,S,trail_172,9
BU,BC,trail_173,10
AG,AC,trail_174,3
N,CA,trail_175,2
X,AD,trail_176,6
CP,BW,trail_177,7
AM,AW,trail_178,7
AI,BU,trail_179,1
AU,BC,trail_180,10
AW,W,trail_181,5
BT,E,trail_182,5
BQ,AM,trail_183,10
O,CR,trail_184,2
I,BC,trail_185,9
AH,CS,trail_186,2
CA,BV,trail_187,8
AK,AZ,trail_188,3
CI,CE,trail_189,6
BK,AP,trail_190,4
R,BL,trail_191,6
CK,AK,trail_192,7
M,CO,trail_193,8
X,BV,trail_194,5
AR,BJ,trail_195,5
AK,CO,trail_196,5
AH,BY,trail_197,5
CK,AL,trail_198,8
BJ,BP,trail_199,2
M,CP,trail_200,1
AC,BC,trail_201,5
CD,BP,trail_202,8
CA,AN,trail_203,2
AR,AU,trail_204,7
S,G,trail_205,6
Q,BS,trail_206,9
AI,AD,trail_207,4
AT,AF,trail_208,5
CU,CF,trail_209,6
CE,BZ,trail_210,3
AZ,AA,trail_211,4
AF,Q,trail_212,3
CF,AD,trail_213,6
BF,N,trail_214,1
CP,V,trail_215,3
CM,AS,trail_216,10
BM,BT,trail_217,4
AO,AD,trail_218,4
BF,E,trail_219,8
BO,BF,trail_220,9
BW,AT,trail_221,6
K,X,trail_222,5
BN,C,trail_223,8
L,CV,trail_224,3
CB,BC,trail_225,2
BN,B,trail_226,8
P,Q,trail_227,8
J,CL,trail_228,3
AE,BF,trail_229,8
CH,AZ,trail_230,2
CC,Y,trail_231,1
AK,CI,trail_232,9
CK,AE,trail_233,2
BR,E,trail_234,7
CN,CF,trail_235,6
CB,W,trail_236,6
AV,CT,trail_237,4
BC,BX,trail_238,9
BU,BG,trail_239,9
BV,T,trail_240,2
AE,BX,trail_241,7
AS,AP,trail_242,5
J,K,trail_243,3
AS,Z,trail_244,9
BK,AI,trail_245,9
CS,CL,trail_246,5
H,CS,trail_247,9
AS,CS,trail_248,6
AV,CU,trail_249,2
E,BI,trail_250,6
BX,CU,trail_251,8
AC,CO,trail_252,5
AA,AV,trail_253,3
B,AO,trail_254,4
BS,AT,trail_255,10
CR,BX,trail_256,3
BJ,C,trail_257,4
BG,BY,trail_258,4
S,H,trail_259,5
AV,CJ,trail_260,4
T,D,trail_261,1
AA,O,trail_262,9
AF,I,trail_263,10
CA,CT,trail_264,6
BB,AG,trail_265,6
BS,AY,trail_266,2
AF,AG,trail_267,5
X,BZ,trail_268,7
BX,AA,trail_269,5
I,CK,trail_270,5
AL,AZ,trail_271,9
E,BV,trail_272,2
CT,BQ,trail_273,6
X,BC,trail_274,1
I,CJ,trail_275,9
AA,CC,trail_276,2
AW,BV,trail_277,3
CO,BV,trail_278,3
K,AN,trail_279,9
BQ,CO,trail_280,9
BS,AF,trail_281,4
BW,I,trail_282,6
L,AB,trail_283,6
CH,BE,trail_284,3
AQ,CR,trail_285,9
U,AX,trail_286,5
