node1,node2,trail,distance
BR,CR,trail_87,10
BX,BE,trail_88,10
N,J,trail_89,1
BJ,CU,trail_90,8
CR,T,trail_91,9
BY,BL,trail_92,9
CK,CN,trail_93,5
AE,L,trail_94,6
BI,CV,trail_95,10
AG,CH,trail_96,7
AH,AX,trail_97,9
E,AH,trail_98,5
BC,BD,trail_99,7
BN,AL,trail_100,4
AF,BM,trail_101,4
AE,R,trail_102,10
J,CF,trail_103,6
AX,N,trail_104,5
O,AR,trail_105,7
AG,AY,trail_106,9
L,CN,trail_107,5
AZ,AX,trail_108,10
BE,AV,trail_109,10
AL,V,trail_110,1
BL,M,trail_111,10
BZ,AT,trail_112,9
AR,CO,trail_113,8
M,AV,trail_114,2
AT,CO,trail_115,7
BC,AA,trail_116,1
AG,F,trail_117,3
AE,BH,trail_118,5
AB,CA,trail_119,6
BX,N,trail_120,4
BK,BA,trail_121,6
BY,BW,trail_122,1
BZ,AC,trail_123,9
AW,CU,trail_124,2
BU,AZ,trail_125,6
P,AF,trail_126,2
CH,BQ,trail_127,9
Q,BH,trail_128,7
BI,AA,trail_129,10
CP,B,trail_130,5
A,Y,trail_131,9
I,T,trail_132,6
Z,BN,trail_133,7
BE,AL,trail_134,1
AJ,AM,trail_135,1
G,BU,trail_136,6
CV,AL,trail_137,5
E,CJ,trail_138,2
AR,D,trail_139,5
AC,F,trail_140,6
N,E,trail_141,2
BO,V,trail_142,9
S,CT,trail_143,1
BQ,AY,trail_144,4
CI,Y,trail_145,9
CN,AB,trail_146,5
E,CC,trail_147,8
CD,BN,trail_148,8
AO,AK,trail_149,6
AV,D,trail_150,3
CV,AN,trail_151,1
AG,L,trail_152,9
CB,BD,trail_153,7
BS,CE,trail_154,10
AQ,BQ,trail_155,3
Y,I,trail_156,2
CE,Y,trail_157,3
BC,BQ,trail_158,7
J,CP,trail_159,2
P,BU,trail_160,4
BS,CN,trail_161,10
AL,BI,trail_162,2
CN,AV,trail_163,7
BL,AI,trail_164,3
X,F,trail_165,6
BY,P,trail_166,2
AR,AP,trail_167,2
BX,X,trail_168,8
AT,AM,trail_169,1
U,AX,trail_170,6
BP,AG,trail_171,4
CR,AJ,trail_172,2
CO,W,trail_173,8
CA,BL,trail_174,3
I,D,trail_175,4
AG,BO,trail_176,8
C,BQ,trail_177,6
CB,AE,trail_178,8
CL,O,trail_179,3
K,AL,trail_180,7
BI,BS,trail_181,4
CE,L,trail_182,4
CR,BI,trail_183,10
AC,BI,trail_184,5
BR,BV,trail_185,2
AE,O,trail_186,8
CS,CO,trail_187,1
AD,CN,trail_188,2
AK,BC,trail_189,9
AX,AI,trail_190,9
CS,AM,trail_191,5
AL,AD,trail_192,1
CA,BS,trail_193,4
BF,CC,trail_194,6
CE,BJ,trail_195,10
BT,S,trail_196,1
BJ,Q,trail_197,6
BW,AD,trail_198,2
AA,N,trail_199,6
AT,CR,trail_200,9
CH,AP,trail_201,10
F,BE,trail_202,4
AD,Z,trail_203,7
AW,CE,trail_204,5
AK,BO,trail_205,3
BV,AA,trail_206,1
AX,O,trail_207,9
BV,BW,trail_208,3
CB,BJ,trail_209,3
AN,CO,trail_210,8
BU,AE,trail_211,10
A,CF,trail_212,9
CC,AN,trail_213,5
AA,CP,trail_214,8
CI,AO,trail_215,5
CB,CO,trail_216,8
AM,AH,trail_217,9
R,AF,trail_218,3
B,R,trail_219,9
M,Y,trail_220,6
BX,CG,trail_221,5
K,V,trail_222,2
AS,CB,trail_223,10
C,CB,trail_224,9
M,BQ,trail_225,2
AI,AV,trail_226,1
AK,AJ,trail_227,10
CK,AR,trail_228,3
BN,AS,trail_229,2
CQ,BN,trail_230,2
M,BX,trail_231,1
W,CN,trail_232,2
AN,J,trail_233,1
O,AS,trail_234,10
CM,AN,trail_235,2
